bar,timestamp,session,p_profit,action,signal,equity_cny,exec,risk_event,drawdown_pct
65,2024-01-15 06:57:16.363636,CHINA_HOURS,0.8178110020795051,HOLD(cost),HOLD,996587.0495167343,[SSE HOLD],,-0.3981810577832294
66,2024-01-15 07:02:18.461538,SSE_TO_NASDAQ,0.7751411392009521,INACTION,HOLD,993966.2271743834,[FX SSE→NASDAQ] USD=137235.07,,-0.6601136933208273
67,2024-01-15 07:07:20.559441,SSE_TO_NASDAQ,0.7097372594251468,INACTION,HOLD,994465.1441739129,[FX SSE→NASDAQ] USD=0.00,,-0.6102504719610509
68,2024-01-15 07:12:22.657343,SSE_TO_NASDAQ,0.7386265454753218,INACTION,HOLD,994547.736280407,[FX SSE→NASDAQ] USD=0.00,,-0.6019959757370905
69,2024-01-15 07:17:24.755245,SSE_TO_NASDAQ,0.6631449442794596,INACTION,HOLD,995366.2937029747,[FX SSE→NASDAQ] USD=0.00,,-0.5201869574120745
70,2024-01-15 07:22:26.853147,SSE_TO_NASDAQ,0.6046607110539447,INACTION,HOLD,995771.2837979817,[FX SSE→NASDAQ] USD=0.00,,-0.479711065079499
71,2024-01-15 07:27:28.951049,SSE_TO_NASDAQ,0.5657702198759439,INACTION,HOLD,997300.0142083231,[FX SSE→NASDAQ] USD=0.00,,-0.32692528523606096
72,2024-01-15 07:32:31.048951,SSE_TO_NASDAQ,0.5388441615966212,INACTION,HOLD,996485.6815675185,[FX SSE→NASDAQ] USD=0.00,,-0.40831206653879476
73,2024-01-15 07:37:33.146853,SSE_TO_NASDAQ,0.5774843230540881,INACTION,HOLD,997072.3865658032,[FX SSE→NASDAQ] USD=0.00,,-0.3496750563147677
74,2024-01-15 07:42:35.244755,SSE_TO_NASDAQ,0.6582076377105641,INACTION,HOLD,998587.0043139295,[FX SSE→NASDAQ] USD=0.00,,-0.1982997371304624
75,2024-01-15 07:47:37.342657,SSE_TO_NASDAQ,0.7056973603001246,INACTION,HOLD,998970.3715416926,[FX SSE→NASDAQ] USD=0.00,,-0.15998489727120163
76,2024-01-15 07:52:39.440559,SSE_TO_NASDAQ,0.7355308502690819,INACTION,HOLD,998874.1770892813,[FX SSE→NASDAQ] USD=0.00,,-0.16959885165378158
77,2024-01-15 07:57:41.538462,SSE_TO_NASDAQ,0.7342997058200709,INACTION,HOLD,998263.6196104412,[FX SSE→NASDAQ] USD=0.00,,-0.23061974841411836
